algorithm,repeat,T,status,native_cost,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost,sample_equivalent_cost
Zuo2024 clipped TS,6,850000,failed,148433,0.7796364705882353,,662691,187309,3.782835849776267e+18,3.782835849776416e+18,
Xu2021 observation-free UCB,6,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,6,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,6,1000000,failed,375142,0.526502,,526502,473498,179112216.7082094,179487358.70821014,
Zuo2024 clipped TS,6,1000000,failed,161699,0.795932,,795932,204068,4.490082994066218e+18,4.490082994066374e+18,
Xu2021 observation-free UCB,6,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,6,1000000,simulated,994718.0,0.552308,1.0,552308,447692,0.0,994718.0,9947180.0
Jun2018 clipped UCB,7,100000,failed,65265,0.17963,,17963,82037,26700157.738228977,26765422.73822899,
Zuo2024 clipped TS,7,100000,failed,56062,0.29395,,29395,70605,5.375542754115271e+17,5.3755427541158464e+17,
Xu2021 observation-free UCB,7,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,7,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,7,250000,failed,145229,0.266588,,66647,183353,71915748.00940938,72060977.00940916,
Zuo2024 clipped TS,7,250000,failed,92126,0.534872,,133718,116282,1.4579402681869524e+18,1.4579402681870444e+18,
Xu2021 observation-free UCB,7,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,7,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,7,400000,failed,209783,0.33889,,135556,264444,102088138.03229098,102297921.03229153,
Zuo2024 clipped TS,7,400000,failed,118770,0.625475,,250190,149810,2.4199125335144986e+18,2.419912533514613e+18,
Xu2021 observation-free UCB,7,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,7,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,7,550000,failed,269454,0.3823509090909091,,210293,339707,138806485.37620705,139075939.37620583,
Zuo2024 clipped TS,7,550000,failed,138175,0.6829763636363636,,375637,174363,3.2780366050634496e+18,3.278036605063584e+18,
Xu2021 observation-free UCB,7,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,7,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,7,700000,failed,308418,0.4436857142857143,,310580,389420,164986494.70057797,165294912.70057806,
Zuo2024 clipped TS,7,700000,failed,146334,0.7362285714285715,,515360,184640,3.675825294906488e+18,3.675825294906625e+18,
Xu2021 observation-free UCB,7,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,7,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,7,850000,failed,342576,0.4918364705882353,,418061,431939,162691583.9745304,163034159.97453,
Zuo2024 clipped TS,7,850000,failed,154708,0.7702529411764706,,654715,195285,4.111846876972195e+18,4.111846876972352e+18,
Xu2021 observation-free UCB,7,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,7,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,7,1000000,failed,377195,0.524166,,524166,475834,178587613.6129505,178964808.61294976,
Zuo2024 clipped TS,7,1000000,failed,162406,0.795086,,795086,204914,4.5273648072457037e+18,4.5273648072458706e+18,
Xu2021 observation-free UCB,7,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,7,1000000,simulated,994718.0,0.552217,1.0,552217,447783,0.0,994718.0,9947180.0
Jun2018 clipped UCB,8,100000,failed,63241,0.20061,,20061,79939,23517774.67856295,23581015.67856297,
Zuo2024 clipped TS,8,100000,failed,53326,0.32557,,32557,67443,4.904848928546312e+17,4.904848928546842e+17,
Xu2021 observation-free UCB,8,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,8,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,8,250000,failed,145586,0.264916,,66229,183771,71035697.78889355,71181283.7888933,
Zuo2024 clipped TS,8,250000,failed,96553,0.512204,,128051,121949,1.6035142544512192e+18,1.6035142544513144e+18,
Xu2021 observation-free UCB,8,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,8,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,8,400000,failed,207392,0.346395,,138558,261442,101124867.98091647,101332259.98091598,
Zuo2024 clipped TS,8,400000,failed,118173,0.627395,,250958,149042,2.3951371030792863e+18,2.3951371030794086e+18,
Xu2021 observation-free UCB,8,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,8,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,8,550000,failed,266558,0.38766545454545454,,213216,336784,144583107.10664222,144849665.1066418,
Zuo2024 clipped TS,8,550000,failed,133005,0.6946436363636364,,382054,167946,3.041205218742801e+18,3.0412052187429386e+18,
Xu2021 observation-free UCB,8,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,8,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,8,700000,failed,302367,0.4549128571428571,,318439,381561,151865389.21886754,152167756.21886802,
Zuo2024 clipped TS,8,700000,failed,146111,0.7372771428571429,,516094,183906,3.646683845393596e+18,3.646683845393737e+18,
Xu2021 observation-free UCB,8,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,8,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,8,850000,failed,340697,0.49451529411764705,,420338,429662,169450783.50269398,169791480.50269246,
Zuo2024 clipped TS,8,850000,failed,156241,0.7677129411764706,,652556,197444,4.203307155644765e+18,4.2033071556449157e+18,
Xu2021 observation-free UCB,8,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,8,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,8,1000000,failed,379001,0.521821,,521821,478179,185674522.4891631,186053523.4891629,
Zuo2024 clipped TS,8,1000000,failed,162381,0.795184,,795184,204816,4.5230166965881267e+18,4.52301669658829e+18,
Xu2021 observation-free UCB,8,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,8,1000000,simulated,994718.0,0.552389,1.0,552389,447611,0.0,994718.0,9947180.0
